Description,HROrganization,Position,ShortDescription
Manager IT Systems,BANK,90,MGR IT Systems
Manager IT Development,BANK,91,MGR IT Dev
Manager IT Cloud,BANK,92,MGR IT Cloud
Chief Executive Officer,CORP,1,CEO
Chief Operating Officer,CORP,2,COO
Vice President,CORP,3,VP
VicePresident of Finance,CORP,4,VP Finance
Manager,CORP,14,Manager
Manager of Invoicing,CORP,15,MGR Invoicing
Manager of Requisitions,CORP,16,MGR Requisitions
Director,CORP,17,DIR
Director of Benefits,CORP,18,DIR Benefits
Director of Human Resources,CORP,19,DIR Human Resources
Financial Staff,CORP,20,FIN Staff
Human Resource Staff,CORP,21,HR Staff
Procurement Staff,CORP,22,PROC Staff
Payroll Staff,CORP,23,PAYROLL Staff
Warehouse Staff,CORP,24,Warehouse Staff
Requisitions Staff,CORP,25,REQ Staff
Requestor,CORP,26,Requestor
Requisitions Approver,CORP,27,REQ Approver
Invoice Staff,CORP,28,Invoice Staff
Invoice Clerk,CORP,29,Inv Clerk
Invoice Approver,CORP,30,Invoice Approver
Financial Approval Clerk,CORP,31,FIN Approver
Manager of Finance,CORP,32,MGR Finance
Finance Clerk,CORP,33,FIN Clerk
Assets Staff,CORP,34,Assets Staff
Assets Clerk,CORP,35,Assets Clerk
Manager of Assets,CORP,36,MGR Assets
Receiving Clerk,CORP,37,Receiving Clerk
Manager of Payroll,CORP,38,MGR Payroll
MGR Benefits,CORP,39,MGR Benefits
VicePresident of Sales,CORP,40,VP Sales
Director of NE Sales,CORP,41,DIR of NE Sales
Director of SE Sales,CORP,42,DIR of SE Sales
VicePresident of Human Resources,CORP,43,VP Human Resources
Manager of Procurement,CORP,44,MGR Procurement
Buyer,CORP,45,Buyer
Manager of Cash Management,CORP,46,MGR Cash
Chief Financial Officer,CORP,47,CFO
VicePresident of Technology,CORP,48,VP Technology
Payroll Clerk,CORP,49,Payroll Clerk
Secretary - Executive Level,CORP,50,Secretary Exec
Secretary - Management Level,CORP,51,Secretary Mgmt
Secretary - CEO,CORP,52,Secretary CEO
Secretary - Chief Operating Officer,CORP,53,Secretary - COO
Secretary - VP HR,CORP,56,Secretary VP HR
Prison Officer,GOG,1,Prison Officer
"Ministry of Finance, Economic Development, Physical Developm",GOG,2,MIN FIN
Permanent Secretary with responsibility for Physical Develop,GOG,3,PS FIN
Permanent Secretary (acting) with responsibility for Finance,GOG,4,PS FIN ACT
Deputy Permanent Secretary,GOG,5,DEPUTY PS
Permanent Secretary with responsibility for Public Administr,GOG,6,PS DPA
Director of Trade,GOG,7,DIR OF TRADE
Director of Economics & Trade Co-operation,GOG,8,DIR OF ECON
Director of Energy & Sustainable Development,GOG,9,DIR ENERG SUS DEV
Chief Budget Officer-Economic Affairs,GOG,10,CHIEF BDG OFFICER
Chieft Economist,GOG,11,CHIEF ECON
Valuation Officer,GOG,12,VAL OFFICER
Budget Officer,GOG,13,BUDG OFFICER
Budget Officer I,GOG,14,BUDG OFFICER I
Collection Officer,GOG,15,COLL OFFICER
Planning Officer I,GOG,16,PLN OFFICER
"Trade Officer II, Economic Affairs",GOG,17,TRD OFFICER II
"Physical Planner II, Physical Planning Unit",GOG,18,PHYS PLAN II
Senior Energy Officer,GOG,19,SNR ENERG OFFICER
Energy Officer,GOG,20,ENERG OFFICER
Advisor On Trade & Investment,GOG,21,ADV TRD & INVST
Chief Policy Advisor,GOG,22,CHIEF POLICY ADV
Deputy Director of Audit,GOG,23,DEPUTY DIR of AUD
Internal Auditor,GOG,24,INTERNAL AUD
Tax Auditor,GOG,25,TAX AUD
Systems Analyst,GOG,26,SYS ANLST
Systems Analyst I,GOG,27,SYS ANLST I
Systems Analyst-Hardware Technician,GOG,28,SYS ANLST -HD TECH
Data Analyst,GOG,29,DATA ANLST
Programme Analyst,GOG,30,PROG ANLST
Assistant Valuation Officer,GOG,31,ASST VAL OFFICER
Senior Portfolio Analyst,GOG,32,SNR PORT ANLST
Chief Policy Analyst,GOG,33,CHIEF POL ANLST
Policy Analyst,GOG,34,POL ANLST
Senior Policy Analyst,GOG,35,SNR POL ANLST
Policy Analyst II,GOG,36,Pol ANLST II
Budget Analyst,GOG,37,BDG ANLST
Revenue Analyst,GOG,38,REV ANLST
Senior Debt Analyst,GOG,39,SNR DEBT ANLST
Debt Analyst,GOG,40,DEBT ANLST
Debt Management Analyst,GOG,41,DEBT MGMT ANLST
Director of Statistics,GOG,42,DIR STATS
Senior Economist,GOG,43,SNR ECONMST
Economist,GOG,44,ECON
Tax Officer I,GOG,45,TAX OFF I
Tax Officer II,GOG,46,TAX OFF II
Senior Tax Inspector,GOG,47,SNR TAX INSP
Tax Inspector,GOG,48,TAX INSP
Manager of Printery,GOG,49,MGR PRINT
Government Printer,GOG,50,GOV PRINT
Plant Superintendent,GOG,51,PLT SUPERINT
Supervisor of Binder,GOG,52,SUPV BNDR
Supervisor of Composing,GOG,53,SUPV COMPOS
Computer Graphic Artist,GOG,54,COMP GA
Offset Press Operator,GOG,55,OFFSET PRES OP
Cameraman,GOG,56,CAM
Printer,GOG,57,PNTR
Systems Administrator,GOG,58,SYS ADMIN
Senior Human Resource Management Officer,GOG,61,SNR HRM OFFICER
Director of Learning and Development,GOG,62,DIR L&D
Assistant System Administrator,GOG,63,ASST SYS ADMIN
Network Administrator,GOG,64,NTWK ADMIN
Head of Reform Management,GOG,65,HD REF MGMT
Reform Management Officer,GOG,66,REF MGMT OFFICER
Human Resource Business Partner,GOG,67,HR BUS PART
Records Management Officer,GOG,68,REC MGMT OFFICER
Management Information Officer,GOG,69,MGMT INFO OFFICER
Chief Personnel Officer,GOG,70,CPO
Senior Administrative Officer,GOG,71,SAO
Administrative Officer,GOG,72,ADMIN OFFICER
Office Manager,GOG,73,OFFI MGR
Human Resource Management Officer,GOG,74,HRM OFFICER
Human Resource Management Associate,GOG,75,HRM ASC
Human Resource Development Officer,GOG,76,HRD OFFICER
Front Line Associate,GOG,77,FRNT ASSOC
Data Entry Clerk,GOG,78,DATA ENT CLERK
Registry Clerk I,GOG,79,REG CLERK I
Registry Clerk II,GOG,80,REG CLERK II
Pensions Clerk I,GOG,81,PENS CLERK I
Clerical Associate,GOG,82,CLER ASSOC
Strategic Programme Manager,GOG,83,STRAT PROG MGR
Strategic Programme Officer,GOG,84,STRAT PROG OFFICER
Corporate Strategic Officer,GOG,85,CORP STRAT OFFICER
Chief Corporate Communications Officer,GOG,86,CHIEF CC OFFICER
Assistant Senior Administrative Officer,GOG,88,ASST SAO
Administrative Officer,GOG,89,AO
Executive Officer,GOG,90,EO
Chief Procurement Officer,GOG,91,CHIEF PROC OFFICER
Senior Procurement Officer,GOG,92,SNR PROC OFFICER
Corporate Strategic Officer,GOG,93,CSO
Procurement Officer II,GOG,94,PROC OFFICER II
Procurement Officer,GOG,95,PROC OFFICER
Clerk I,GOG,97,CLERK I
Secretary,GOG,98,SEC
Secretary II,GOG,100,SEC II
Head Waste Reduction Officer,GOG,101,HEAD WASTE REDU OFFI
Chauffeur/Assistant,GOG,102,CHAUFF/ASST
Clerk/Typist,GOG,103,CLERK/TYP
Statistical Clerk II,GOG,104,STATS CLERK I
Clerk II,GOG,105,CLERK II
PBX Operator,GOG,106,PBX OPS
Office Attendant/Cleaner,GOG,107,OFFI ATTENDANT/CLNR
Clerk II,GOG,108,CLERIK II
Office Attendant/Cleaner,GOG,110,OFFI ATTN/CLEANER
Administrative Secretary,GOG,112,ADMIN SEC
Temporary Adminstrative Officer,GOG,113,TEMP ADMIN OFFICER
Clerical Assistant,GOG,114,CLERC ASST
Digital Strategist,GOG,116,DIG STRA
IT Manager,GOG,117,IT MGR
Information Technology Officer,GOG,118,IT OFFICER
Infromation Technology Assistant,GOG,119,IT ASST
Computer Operator,GOG,120,COMP OP
Technical Assistant III,GOG,121,TECH ASST III
System Programmer,GOG,122,SYS PROG
System Developer,GOG,123,SYS DEV
Building Inspector II,GOG,124,BUILD INSP II
Junior Building Inspector,GOG,125,JR BUILD INSP
Chief Draughtsman,GOG,126,CHIEF DRUGHTSMN
Draughtsman,GOG,127,DRUGHTSMN
Senior Planning Officer,GOG,128,SNR PLNG OFFICER
Planning Officer I,GOG,129,PLNG OFFICER
Physical Planner,GOG,131,PHYS PLNR
Physical Planner II,GOG,132,PHYS PLNR II
Senior Project Officer,GOG,133,SNR PROJ OFF - ECON
"Project Officer, Economic and Technical Corporation",GOG,134,PROJ OFFICER
Project Officer I,GOG,135,PROJ OFFICER I
Project Specialist,GOG,136,PROJ SPC
"Project Officer II, Economic Affairs",GOG,137,PROJ OFFICER II
Monitoring and Evaluation Officer,GOG,139,M&E Officer
Deputy Comptroller of Customs and Excise,GOG,140,DEPUTY COMP of CUST
Comptroller of Customs and Excise-Customs,GOG,141,COMP of CUST
Comptroller of Inland Revenue,GOG,142,COMP of IRD
Deputy Comptroller-Inland Revenue,GOG,143,DEPUTY COMP of IRD
Supervisor of Customs,GOG,144,SUPV of CUST
Senior Customs Officer,GOG,145,SNR CUST OFFICER
Customs Clerk,GOG,146,CUST CLERK
Customs Clerk I,GOG,147,CUST CLERK I
Customs Clerk II,GOG,148,CUST CLERK II
Preventative Guard,GOG,149,PREV GUARD
Assistant Comptroller-Inland Revenue,GOG,150,ASST COMP IRD
Staff Accountant,GOG,151,STAFF ACCT
Senior Accounts Clerk I,GOG,152,SNR ACCT CLERK I
Senior Accounts Clerk II,GOG,153,SNR ACCT CLERK II
Accounts Clerk I,GOG,154,ACCT CLERK I
Accounts Clerk II,GOG,155,ACCT CLERK II
Clerk-Finalization of Accounts,GOG,156,CLERK FIN of ACCTs
Accountant General,GOG,157,ACCT GENERAL
Deputy Accountant General,GOG,158,DEPUTY ACCT GNL
Senior Accountant,GOG,159,SNR ACCT
Chief Treasury Officer,GOG,160,CHIEF TREAS OFFICER
"Head, Debt Management Unit",GOG,161,HEAD DEBT MGMT UNIT
Statistician,GOG,162,STATS
AG Statistician,GOG,163,AG STATS
Statistical Officer I,GOG,164,STATS OFFICER I
Senior Price and Consumer Affairs Officer,GOG,165,SNR PCA OFFICER
Price and Consumer Affairs Officer,GOG,166,PCA OFFICER
Deputy Director of Statistics,GOG,167,DEP DIR OF STATS
Assistant IT Manager,GOG,168,ASST IT MGR
Manager of Invoicing,GOV,1,MGR INVOICING
Manager of Requisitions,GOV,2,MGR REQ
Manager of Procurement,GOV,3,MGR PROCUREMT
Manager of Contracts,GOV,4,MGR CONTRACTS
Manager of Inventory,GOV,5,MGR INV
Cash Manager,GOV,6,MGR CASH
Manager of Strategic Sourcing,GOV,7,MGR STRAT SOURC
Clerk - Invoicing,GOV,8,CLRK INV
Invoice Approver,GOV,9,APPRVR INVOICE
Requester - Requisitions,GOV,10,REQ REQUISITIONS
Requisitions Approver,GOV,11,APPRVR REQ
Buyer,GOV,12,BUYER
Director of Supplies & Services,GOV,13,DIR SUPPL
Receiver - Supply Management,GOV,14,RECEIVER
Cash Processor,GOV,15,PROCSR CASH
Supplier Portal Administrator,GOV,16,ADMIN SUPPLR PORTL
Recall Administrator,GOV,17,ADMIN RECALL
Minister of Finance,GOV,18,MIN FINANCE
Manager of Finance Dept,GOV,19,MGR Finance
Journal Entry Clerk,GOV,20,JE Clerk
Budget Clerk,GOV,21,Budget Clerk
Manager Budgets,GOV,22,MGR Budgets
Manager Projects,GOV,23,MGR Projects
Manager Fixed Assets,GOV,24,MGR Assets
Projects Clerk,GOV,25,Projects Clerk
Assets Clerk,GOV,26,Assets Clerk
FIN General Approver,GOV,27,General Approver
Manager - Accounting,PAYR,1,MGR ACCTG
Supervisor - Accounting,PAYR,2,SUPV ACCTG
Clerk1 - Accounting,PAYR,3,CLERK1 - ACCTG
Clerk2 - Accounting,PAYR,4,CLERK2 - ACCTG
Clerk3 - Accounting,PAYR,5,CLERK3 - ACCTG
